userName,score,at,content
Robingah masdar,5,2022-05-17 12:32:23,"Jadi gampang konsultasi dari rumah,"
Aznayfa Eriyawan,5,2022-05-17 09:16:10,sangat membantu
Halim Abdul,2,2022-05-17 07:58:37,"Aplikasi cacat,download kartu kendali ga bisa2,bisa nya di web.mana masuknya cuma pake nomor doang."
Bambang Oetarman,5,2022-05-17 07:15:32,Salut dgn tetap menjaga kualitas pelayanannya. Halodoc solusi untuk menjaga dan merawat kesehatan
Yudiono Putranto,5,2022-05-17 07:08:12,Mudah dan terpercaya
Lina Pesek,5,2022-05-17 04:54:19,Mudah dan sangat membantu.. terimakasih!
Rahma Alif,2,2022-05-17 03:36:42,"Waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis. Dokternya main end gitu aja, gak bilang menutup atau apa. Saya masih ngetik! Belum selesai konsul. Parah bgt. Kecewa."
Femi Ratnasari,5,2022-05-17 02:56:46,Sangat terbantu sekali...terimakasih
Siska Yuliana,5,2022-05-17 01:35:53,sangat membantu
Marlina Liftiani,5,2022-05-16 23:39:54,Sangat membantu
Carla Apriella,5,2022-05-16 22:05:46,"Apk ini sangat membantu, apalagi di jaman pandemi seperti ini."
Susy Triatuti Hammermann,5,2022-05-16 16:35:11,Sangat bermanfaat
sarah rara,4,2022-05-16 16:16:58,"Tolong kasi pilihan untuk perpanjang waktu konsultasi, karena terkadang belum selesai konsultasi tapi waktu sudah habis. Terimakasih"
Vicktri Maulida,5,2022-05-16 12:49:14,Sangat cepat respon dokter nya aman dan nyaman
Jeju journey,5,2022-05-16 08:40:31,sangat membantu sekali
Nunix Ach Riani,5,2022-05-16 08:36:14,Sangat membantu....alhamdulillah..
N Saidah,5,2022-05-16 07:53:18,"Sangat membantu, karna biaya konsul yg terjangkau 🙏"
muli ani,5,2022-05-16 07:38:26,"Sangat puas dgn hasil konsultasinya, semoga memberi hasil yg memuaskan jg.."
yuni w,5,2022-05-16 06:54:52,"Sangat membantu, konsultasi tanpa perlu ktemu dokter ato datang ke klinik"
FANA BANYUWANGI OFFICIAL,2,2022-05-16 04:25:58,"Alamat gak bisa nulis sendiri, harus pakai map. Akhirnya gak bisa akurat, dan paket lewat sicepat tapi 3 hari sama kurir gak di antar2. Padahal obat mau di pakai... Payah..."
Siti Komariyah,4,2022-05-16 03:45:50,"dokter nya sgt sbr,br pun bnyk bertanya,respon nya baik & cpt, terimakasih y dok"
Indah maya,5,2022-05-16 02:10:31,Puas konsultasi dengan dokter terbaik
Kamal Kebumen,1,2022-05-16 01:25:42,"Payah.. dokternya ga ada respon. Pertama gagal, saldo balik. Kedua ga ada respon/menggantung. Klo ga siap sama dokternya ga usah gaya2 an buka konsultasi online.?"
