Remove_noise,nilai,sentimen
jadi gampang konsultasi dari rumah,8,positif
aplikasi cacat download kartu kendali tidak bisa bisa di web mana masuknya cuma pakai nomor saja,-20,negatif
salut dengan tetap menjaga kualitas pelayananya halodoc solusi untuk menjaga dan merawat kesehatan,1,netral
mudah dan terpercaya,4,positif
mudah dan sangat membantu terimakasih,16,positif
waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis dokternya main end begitu saja tidak bilang menutup atau apa saya masih ngetik belum selesai konsul parah banget kecewa,-2,netral
sangat terbantu sekali terimakasih,7,positif
apk ini sangat membantu apalagi di jaman pandemi seperti ini,-1,netral
tolong kasi pilihan untuk perpanjang waktu konsultasi karena terkadang belum selesai konsultasi tapi waktu sudah habis terimakasih,24,positif
sangat cepat respon dokter aman dan nyaman,12,positif
sangat membantu alhamdulilah,10,positif
sangat membantu karena biaya konsul yang terjangkau,-1,netral
sangat puas dengan hasil konsultasinya semoga memberi hasil yang memuaskan juga,16,positif
sangat membantu konsultasi tanpa perlu ktemu dokter atau datang ke klinik,8,positif
alamat tidak bisa nulis sendiri harus pakai map akhirnya tidak bisa akurat dan paket lewat sicepat tapi hari sama kurir tidak di antar padahal obat di pakai payah,-17,negatif
dokter sangat sabar baru banyak bertanya respon baik cepat terimakasih,26,positif
puas konsultasi dengan dokter terbaik,11,positif
payah dokternya tidak ada respon pertama gagal saldo balik kedua tidak ada respon mengantung kalau tidak siap sama dokternya tidak perlu gaya buka konsultasi online,-2,netral
sangat membantu setiap sat bahkan dokternya ramah dan selalu memberi solusi terbaik sukses terus,25,positif
terimakasih halodoc sangat membantu sekali,11,positif
suka melalui aplikasi ini saya sangat terbantu,2,netral
sangat membantu sekali dan alhamdulilah cocok,13,positif
sayang banget sama halodoc bintang untuk halodoc,7,positif
tidak perlu keluar rumah untuk konsultasi dengan dokter,0,netral
sangat membantu dan penjelasan sangat jelas dan akurat mengerti dan melayani keluhan pasien denga seksama pokoknya halodoc is the best dan sangat membantu kami moga lebih ditingkatkan pelayananya dan dokternya diberi kesehatan selalu mohon responya lebih cepat karena waktu konsultasi hanya menit karena terkadang chat lambat direspon,29,positif
sangat membantu saya konsul dokter resep obat tingal dikirim sangat praktis dan bermanfat,13,positif
lengkapi profil sudah di isi tapi tidak bisa di simpan tertawa aneh banget,7,positif
memuaskan cepat responya,8,positif
tangapan sangat cepat dan ramah dalam pelayanan,17,positif
sangat membantu sat membutuhkan dokter dan obat tidak harus keluar rumah keren,-6,negatif
lebih mudah dan praktis tidak perlu jalan ke apotik tingal pesan langsung diantar kerumah,11,positif
sangat membantu jangan panic halodoc solusinya,7,positif
respon dokter cepat tapi obat kadang tidak diklaim,0,netral
tingal chat dari rumah obat yang tidak ada sudah terkonfirmasi jadi cari di apotek lain bisa,-9,negatif
top sangat membantu,12,positif
sangat membantu semoga bisa bermanfat bagi orang banyak,14,positif
sangat baik tidak perlu antri lama,-1,netral
membantu sekali tapi sayangnya belum selesai bertanya chatnya terlanjur end,9,positif
dapat dokter spesialis yang menitan baru dibales dan nyampaikan di awal jika sedang sibuk atau ada pasien lain sebelumnya dapat dokter yang awalnya agak slowresp tapi beliau menjelaskan kenapa,1,netral
penjelasan dan konsultasi sangat baik dktr mengerti permasalahan penyakitnya,14,positif
pengalaman pertama dan puas,5,positif
tengah malam asma saya kambuh obat sudah habis apotek juga banyak yang tutup saya coba pesen lewat halodoc tidak sampai ½jam sudah nyampe mantap memang,3,netral
keren aplikasinya sukses selalu,3,netral
puas sama jawaban dokter,9,positif
sudah order chat dokter sudah bayar saldo sudah kepotong tapi dichat dokter tidak respon kecewa banget sumpah,16,positif
harga yang tertera kalau bisa yang terupdate biar tidak pakai nambah lagi tunai ke kurirnya karena ada perbedan harga antara di aplokasi sama realita,-5,negatif
anak saya direkomendasikan buat pcr sudah buat janji tapi tidak ada bukti janji cuma diminta telepon ke penyedia test aplikasi kurang bagus,-13,negatif
keren aplikasinya,0,netral
aplikasi yang bagus sangat membantu,0,netral
membantu untuk masyarakat,4,positif
alhamdu lilah bermanfat dan sangat membantu,7,positif
sangat membantu sat kondisi urgent pengiriman obat sangat cepat,5,positif
simpel dan mudah digunakan bagus pokoknya,6,positif
keren sekali sangat membantu terimkasih,6,positif
konsultasi chat pakai waktu sudah bayar tidak dapat resep obat bahkan di akhiri sesi tolong waktu agak di panjangin,10,positif
tidak bisa kenapa,-5,negatif
sangat amat membantu untuk orang yang butuh dokter tapi tidak mempunyai waktu untuk langsung ke dokter,3,netral
terimakasih halodoc dan team dokter pelayanan cepat,12,positif
aplikasi yang sangat membantu sekali sat membutuhkan obatan dan konsultasi dokter terimakasih halodoc,5,positif
permudah aku kalau sakit tidak perlu ke rumah sakit the best,-9,negatif
sangat membantu dokternya informatif,7,positif
sangat membantu memudahkan dalam konsultasi dan obat tidak antri yabg memakan waktu lama,0,netral
berguna di sat darurat pesan obat cepat sampai,10,positif
