userName,score,at,content,cleaned_content,cleaning_data,stopword_comment,Normalization,Remove_noise
Robingah masdar,5,2022-05-17 12:32:23,"Jadi gampang konsultasi dari rumah,","jadi gampang konsultasi dari rumah,",jadi gampang konsultasi dari rumah ,jadi gampang konsultasi dari rumah ,jadi gampang konsultasi dari rumah,jadi gampang konsultasi dari rumah
Aznayfa Eriyawan,5,2022-05-17 09:16:10,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Halim Abdul,2,2022-05-17 07:58:37,"Aplikasi cacat,download kartu kendali ga bisa2,bisa nya di web.mana masuknya cuma pake nomor doang.","aplikasi cacat,download kartu kendali ga bisa2,bisa nya di web.mana masuknya cuma pake nomor doang.",aplikasi cacat download kartu kendali ga bisa bisa nya di web mana masuknya cuma pake nomor doang ,aplikasi cacat download kartu kendali ga bisa bisa nya di web mana masuknya cuma pake nomor doang ,aplikasi cacat download kartu kendali tidak bisa bisa nya di web mana masuknya cuma pakai nomor saja,aplikasi cacat download kartu kendali tidak bisa bisa di web mana masuknya cuma pakai nomor saja
Bambang Oetarman,5,2022-05-17 07:15:32,Salut dgn tetap menjaga kualitas pelayanannya. Halodoc solusi untuk menjaga dan merawat kesehatan,salut dgn tetap menjaga kualitas pelayanannya. halodoc solusi untuk menjaga dan merawat kesehatan,salut dgn tetap menjaga kualitas pelayanannya  halodoc solusi untuk menjaga dan merawat kesehatan,salut dgn tetap menjaga kualitas pelayananya halodoc solusi untuk menjaga dan merawat kesehatan,salut dengan tetap menjaga kualitas pelayananya halodoc solusi untuk menjaga dan merawat kesehatan,salut dengan tetap menjaga kualitas pelayananya halodoc solusi untuk menjaga dan merawat kesehatan
Yudiono Putranto,5,2022-05-17 07:08:12,Mudah dan terpercaya,mudah dan terpercaya,mudah dan terpercaya,mudah dan terpercaya,mudah dan terpercaya,mudah dan terpercaya
Lina Pesek,5,2022-05-17 04:54:19,Mudah dan sangat membantu.. terimakasih!,mudah dan sangat membantu.. terimakasih!,mudah dan sangat membantu   terimakasih ,mudah dan sangat membantu terimakasih ,mudah dan sangat membantu terimakasih,mudah dan sangat membantu terimakasih
Rahma Alif,2,2022-05-17 03:36:42,"Waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis. Dokternya main end gitu aja, gak bilang menutup atau apa. Saya masih ngetik! Belum selesai konsul. Parah bgt. Kecewa.","waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis. dokternya main end gitu aja, gak bilang menutup atau apa. saya masih ngetik! belum selesai konsul. parah bgt. kecewa.",waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis  dokternya main end gitu aja  gak bilang menutup atau apa  saya masih ngetik  belum selesai konsul  parah bgt  kecewa ,waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis dokternya main end gitu aja gak bilang menutup atau apa saya masih ngetik belum selesai konsul parah bgt kecewa ,waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis dokternya main end begitu saja tidak bilang menutup atau apa saya masih ngetik belum selesai konsul parah banget kecewa,waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis dokternya main end begitu saja tidak bilang menutup atau apa saya masih ngetik belum selesai konsul parah banget kecewa
Femi Ratnasari,5,2022-05-17 02:56:46,Sangat terbantu sekali...terimakasih,sangat terbantu sekali...terimakasih,sangat terbantu sekali   terimakasih,sangat terbantu sekali terimakasih,sangat terbantu sekali terimakasih,sangat terbantu sekali terimakasih
Siska Yuliana,5,2022-05-17 01:35:53,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Marlina Liftiani,5,2022-05-16 23:39:54,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Carla Apriella,5,2022-05-16 22:05:46,"Apk ini sangat membantu, apalagi di jaman pandemi seperti ini.","apk ini sangat membantu, apalagi di jaman pandemi seperti ini.",apk ini sangat membantu  apalagi di jaman pandemi seperti ini ,apk ini sangat membantu apalagi di jaman pandemi seperti ini ,apk ini sangat membantu apalagi di jaman pandemi seperti ini,apk ini sangat membantu apalagi di jaman pandemi seperti ini
Susy Triatuti Hammermann,5,2022-05-16 16:35:11,Sangat bermanfaat,sangat bermanfaat,sangat bermanfaat,sangat bermanfat,sangat bermanfat,sangat bermanfat
sarah rara,4,2022-05-16 16:16:58,"Tolong kasi pilihan untuk perpanjang waktu konsultasi, karena terkadang belum selesai konsultasi tapi waktu sudah habis. Terimakasih","tolong kasi pilihan untuk perpanjang waktu konsultasi, karena terkadang belum selesai konsultasi tapi waktu sudah habis. terimakasih",tolong kasi pilihan untuk perpanjang waktu konsultasi  karena terkadang belum selesai konsultasi tapi waktu sudah habis  terimakasih,tolong kasi pilihan untuk perpanjang waktu konsultasi karena terkadang belum selesai konsultasi tapi waktu sudah habis terimakasih,tolong kasi pilihan untuk perpanjang waktu konsultasi karena terkadang belum selesai konsultasi tapi waktu sudah habis terimakasih,tolong kasi pilihan untuk perpanjang waktu konsultasi karena terkadang belum selesai konsultasi tapi waktu sudah habis terimakasih
Vicktri Maulida,5,2022-05-16 12:49:14,Sangat cepat respon dokter nya aman dan nyaman,sangat cepat respon dokter nya aman dan nyaman,sangat cepat respon dokter nya aman dan nyaman,sangat cepat respon dokter nya aman dan nyaman,sangat cepat respon dokter nya aman dan nyaman,sangat cepat respon dokter aman dan nyaman
Jeju journey,5,2022-05-16 08:40:31,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
Nunix Ach Riani,5,2022-05-16 08:36:14,Sangat membantu....alhamdulillah..,sangat membantu....alhamdulillah..,sangat membantu    alhamdulillah  ,sangat membantu alhamdulilah ,sangat membantu alhamdulilah,sangat membantu alhamdulilah
N Saidah,5,2022-05-16 07:53:18,"Sangat membantu, karna biaya konsul yg terjangkau 🙏","sangat membantu, karna biaya konsul yg terjangkau 🙏",sangat membantu  karna biaya konsul yg terjangkau  ,sangat membantu karna biaya konsul yg terjangkau ,sangat membantu karena biaya konsul yang terjangkau,sangat membantu karena biaya konsul yang terjangkau
