Remove_noise,sentimen,sentimen_negatif,sentimen_netral,sentimen_positif
jadi gampang konsultasi dari rumah,positif,0,0,1
aplikasi cacat download kartu kendali tidak bisa bisa di web mana masuknya cuma pakai nomor saja,negatif,1,0,0
salut dengan tetap menjaga kualitas pelayananya halodoc solusi untuk menjaga dan merawat kesehatan,netral,0,1,0
mudah dan terpercaya,positif,0,0,1
mudah dan sangat membantu terimakasih,positif,0,0,1
waktu konsul lebih dulu habis tanpa ada muncul notif pengingat akan segera habis dokternya main end begitu saja tidak bilang menutup atau apa saya masih ngetik belum selesai konsul parah banget kecewa,netral,0,1,0
sangat terbantu sekali terimakasih,positif,0,0,1
apk ini sangat membantu apalagi di jaman pandemi seperti ini,netral,0,1,0
tolong kasi pilihan untuk perpanjang waktu konsultasi karena terkadang belum selesai konsultasi tapi waktu sudah habis terimakasih,positif,0,0,1
sangat cepat respon dokter aman dan nyaman,positif,0,0,1
sangat membantu alhamdulilah,positif,0,0,1
sangat membantu karena biaya konsul yang terjangkau,netral,0,1,0
sangat puas dengan hasil konsultasinya semoga memberi hasil yang memuaskan juga,positif,0,0,1
sangat membantu konsultasi tanpa perlu ktemu dokter atau datang ke klinik,positif,0,0,1
alamat tidak bisa nulis sendiri harus pakai map akhirnya tidak bisa akurat dan paket lewat sicepat tapi hari sama kurir tidak di antar padahal obat di pakai payah,negatif,1,0,0
dokter sangat sabar baru banyak bertanya respon baik cepat terimakasih,positif,0,0,1
puas konsultasi dengan dokter terbaik,positif,0,0,1
payah dokternya tidak ada respon pertama gagal saldo balik kedua tidak ada respon mengantung kalau tidak siap sama dokternya tidak perlu gaya buka konsultasi online,netral,0,1,0
sangat membantu setiap sat bahkan dokternya ramah dan selalu memberi solusi terbaik sukses terus,positif,0,0,1
terimakasih halodoc sangat membantu sekali,positif,0,0,1
suka melalui aplikasi ini saya sangat terbantu,netral,0,1,0
sangat membantu sekali dan alhamdulilah cocok,positif,0,0,1
sayang banget sama halodoc bintang untuk halodoc,positif,0,0,1
tidak perlu keluar rumah untuk konsultasi dengan dokter,netral,0,1,0
sangat membantu dan penjelasan sangat jelas dan akurat mengerti dan melayani keluhan pasien denga seksama pokoknya halodoc is the best dan sangat membantu kami moga lebih ditingkatkan pelayananya dan dokternya diberi kesehatan selalu mohon responya lebih cepat karena waktu konsultasi hanya menit karena terkadang chat lambat direspon,positif,0,0,1
sangat membantu saya konsul dokter resep obat tingal dikirim sangat praktis dan bermanfat,positif,0,0,1
lengkapi profil sudah di isi tapi tidak bisa di simpan tertawa aneh banget,positif,0,0,1
memuaskan cepat responya,positif,0,0,1
tangapan sangat cepat dan ramah dalam pelayanan,positif,0,0,1
